point_id,region_id,u_m,v_m,x_m,y_m,z_m,nx,ny,nz
0,0,18.800000000,-0.000000000,0.070904893,0.000000000,37.851819519,0.000000000,-1.000000000,0.000000000
1,1,18.626837105,0.002374632,0.068526727,0.000000000,37.678656673,0.000000000,-1.000000000,0.000000000
2,2,17.900000000,-0.000000000,0.070886522,0.000000000,36.951819519,0.000000000,-1.000000000,0.000000000
3,2,17.950000000,-0.000000000,0.070887542,0.000000000,37.001819519,0.000000000,-1.000000000,0.000000000
4,2,18.000000000,-0.000000000,0.070888563,0.000000000,37.051819519,0.000000000,-1.000000000,0.000000000
5,2,18.050000000,-0.000000000,0.070889584,0.000000000,37.101819519,0.000000000,-1.000000000,0.000000000
6,2,18.100000000,-0.000000000,0.070890604,0.000000000,37.151819519,0.000000000,-1.000000000,0.000000000
7,2,18.150000000,-0.000000000,0.070891625,0.000000000,37.201819519,0.000000000,-1.000000000,0.000000000
8,2,18.200000000,-0.000000000,0.070892646,0.000000000,37.251819519,0.000000000,-1.000000000,0.000000000
9,2,18.250000000,-0.000000000,0.070893666,0.000000000,37.301819519,0.000000000,-1.000000000,0.000000000
10,2,18.300000000,-0.000000000,0.070894687,0.000000000,37.351819519,0.000000000,-1.000000000,0.000000000
11,2,18.350000000,-0.000000000,0.070895707,0.000000000,37.401819519,0.000000000,-1.000000000,0.000000000
12,2,18.400000000,-0.000000000,0.070896728,0.000000000,37.451819519,0.000000000,-1.000000000,0.000000000
13,2,18.450000000,-0.000000000,0.070897749,0.000000000,37.501819519,0.000000000,-1.000000000,0.000000000
14,3,17.650000000,-0.000000000,0.070881418,0.000000000,36.701819519,0.000000000,-1.000000000,0.000000000
15,3,17.700000000,-0.000000000,0.070882439,0.000000000,36.751819519,0.000000000,-1.000000000,0.000000000
16,4,17.000000000,-0.000000000,0.070868150,0.000000000,36.051819520,0.000000000,-1.000000000,0.000000000
17,4,17.050000000,-0.000000000,0.070869171,0.000000000,36.101819520,0.000000000,-1.000000000,0.000000000
18,4,17.100000000,-0.000000000,0.070870191,0.000000000,36.151819520,0.000000000,-1.000000000,0.000000000
19,4,17.150000000,-0.000000000,0.070871212,0.000000000,36.201819520,0.000000000,-1.000000000,0.000000000
20,4,17.200000000,-0.000000000,0.070872233,0.000000000,36.251819520,0.000000000,-1.000000000,0.000000000
