step,alpha,J1,J2,J3,J4,J5,J6,J7,J8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.00707872839156148,-0.03352882718273562,0.003881213175354364,0.029095950209081383,-0.031482193568673614,0.009457926729316064,0.02151397434645135,0.004543042563585677
2,0.13333333333333333,0.01415745678312296,-0.06705765436547124,0.007762426350708728,0.058191900418162766,-0.06296438713734723,0.01891585345863213,0.0430279486929027,0.009086085127171354
3,0.2,0.021236185174684438,-0.10058648154820687,0.011643639526063091,0.08728785062724415,-0.09444658070602084,0.028373780187948193,0.06454192303935405,0.013629127690757031
4,0.26666666666666666,0.02831491356624592,-0.1341153087309425,0.015524852701417456,0.11638380083632553,-0.12592877427469445,0.03783170691726426,0.0860558973858054,0.018172170254342708
5,0.3333333333333333,0.0353936419578074,-0.1676441359136781,0.01940606587677182,0.14547975104540692,-0.15741096784336805,0.04728963364658032,0.10756987173225674,0.022715212817928383
6,0.4,0.042472370349368876,-0.20117296309641375,0.023287279052126183,0.1745757012544883,-0.18889316141204165,0.056747560375896386,0.1290838460787081,0.02725825538151406
7,0.4666666666666667,0.024151318439980533,-0.2236676199204791,0.027701652167114142,0.205165788287387,-0.2273888596919668,0.0430802928833593,0.13979340747106214,0.03169465759887317
8,0.5333333333333333,0.005830266530592189,-0.24616227674454447,0.0321160252821021,0.23575587532028572,-0.2658845579718919,0.029413025390822214,0.15050296886341621,0.03613105981623228
9,0.6,-0.012490785378796151,-0.2686569335686098,0.03653039839709006,0.2663459623531844,-0.3043802562518171,0.015745757898285126,0.16121253025577026,0.04056746203359139
10,0.6666666666666666,-0.0292338113134148,-0.28921408413280175,0.04056455341803909,0.2943012687988591,-0.33956024907426846,0.00325567734970824,0.17099965738293538,0.044621748749714946
11,0.7333333333333333,-0.04597683724803345,-0.3097712346969937,0.04459870843898812,0.3222565752445338,-0.37474024189671984,-0.009234403198868646,0.18078678451010047,0.048676035465838506
12,0.8,-0.015873265038607982,-0.3204728042294467,0.043652404091573276,0.3181831606060923,-0.36381913739301946,0.017938266544762202,0.19214846071059177,0.048450291413008606
13,0.8666666666666667,0.014230307170817483,-0.33117437376189973,0.04270609974415843,0.31410974596765084,-0.3528980328893191,0.04511093628839305,0.2035101369110831,0.04822454736017871
14,0.9333333333333333,0.04433387938024294,-0.3418759432943527,0.041759795396743585,0.3100363313292093,-0.3419769283856187,0.0722836060320239,0.21487181311157444,0.04799880330734881
15,1.0,0.07443745158966841,-0.3525775128268057,0.04081349104932874,0.3059629166907678,-0.33105582388191834,0.09945627577565475,0.22623348931206574,0.04777305925451891
