step,alpha,J1,J2,J3,J4,J5,J6,J7,J8
0,0.0,0.07443745158966841,-0.3525775128268057,0.04081349104932874,0.3059629166907678,-0.33105582388191834,0.09945627577565475,0.22623348931206574,0.04777305925451891
1,0.06666666666666667,0.035205040421147187,-0.328331178622519,0.027572371411135242,0.2877982513782222,-0.3177049944562777,0.09774147377327315,0.21149818363536377,0.07163383147007397
2,0.13333333333333333,-0.00402737074737404,-0.30408484441823225,0.014331251772941742,0.26963358606567656,-0.304354165030637,0.09602667177089154,0.19676287795866176,0.09549460368562904
3,0.2,-0.04325978191589526,-0.2798385102139455,0.001090132134748241,0.25146892075313093,-0.29100333560499636,0.09431186976850994,0.1820275722819598,0.11935537590118409
4,0.26666666666666666,-0.08249219308441649,-0.2555921760096588,-0.01215098750344526,0.2333042554405853,-0.2776525061793557,0.09259706776612835,0.1672922666052578,0.14321614811673913
5,0.3333333333333333,-0.12172460425293773,-0.23134584180537204,-0.02539210714163876,0.21513959012803968,-0.264301676753715,0.09088226576374674,0.15255696092855583,0.1670769203322942
6,0.4,-0.16095701542145896,-0.2070995076010853,-0.03863322677983226,0.19697492481549406,-0.2509508473280744,0.08916746376136514,0.13782165525185386,0.19093769254784926
7,0.4666666666666667,-0.20018942658998018,-0.18285317339679857,-0.05187434641802576,0.17881025950294843,-0.23760001790243374,0.08745266175898353,0.12308634957515187,0.2147984647634043
8,0.5333333333333333,-0.2394218377585014,-0.15860683919251184,-0.06511546605621926,0.1606455941904028,-0.22424918847679307,0.08573785975660193,0.10835104389844989,0.23865923697895935
9,0.6,-0.2786542489270226,-0.1343605049882251,-0.07835658569441276,0.14248092887785718,-0.21089835905115242,0.08402305775422032,0.0936157382217479,0.2625200091945144
10,0.6666666666666666,-0.3054832631381317,-0.11777969270677012,-0.08741150167747949,0.13005905499106044,-0.201768418226154,0.08285039347178519,0.08353902578857285,0.27883715559954614
11,0.7333333333333333,-0.33231227734924074,-0.10119888042531514,-0.09646641766054623,0.1176371811042637,-0.19263847740115558,0.08167772918935004,0.07346231335539781,0.2951543020045779
12,0.8,-0.3591412915603498,-0.08461806814386016,-0.10552133364361296,0.10521530721746697,-0.18350853657615715,0.0805050649069149,0.06338560092222276,0.3114714484096096
13,0.8666666666666667,-0.32271739867650284,-0.0957120233642163,-0.10927243606305113,0.09606028642433073,-0.16532805712279838,0.1194500276246063,0.07714561230392429,0.31544147891452706
14,0.9333333333333333,-0.2862935057926559,-0.10680597858457244,-0.11302353848248929,0.0869052656311945,-0.14714757766943964,0.1583949903422977,0.09090562368562581,0.3194115094194446
15,1.0,-0.24986961290880894,-0.11789993380492858,-0.11677464090192746,0.07775024483805826,-0.12896709821608088,0.19733995305998908,0.10466563506732735,0.323381539924362
