lengths_m,position_success_count,task_count,task_failure_types,task_success_count,worst_normal_error_deg,worst_position_error_m
"[np.float64(0.1731215), np.float64(0.28708638), np.float64(0.1053991)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,162.84908517845753,0.21130095360885046
"[np.float64(0.23788668), np.float64(0.1565744), np.float64(0.16097579)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,164.99936840404604,0.14038518734165736
"[np.float64(0.121755), np.float64(0.19578044), np.float64(0.21031886)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,163.36980985166835,0.20346931090945233
"[np.float64(0.16093413), np.float64(0.16581913), np.float64(0.26671462)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,160.1548602651684,0.15498708541479805
"[np.float64(0.26314364), np.float64(0.21395628), np.float64(0.28108348)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,151.15476644347103,0.08364761896911253
"[np.float64(0.2841734), np.float64(0.12433245), np.float64(0.12488116)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,167.31095916575939,0.11619797251312972
"[np.float64(0.10442361), np.float64(0.24219057), np.float64(0.14545056)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,165.2205139603531,0.24688895659889348
"[np.float64(0.21382799), np.float64(0.3295682), np.float64(0.19779095)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,151.3019045316689,0.14756083339390838
"[np.float64(0.18709449), np.float64(0.29230512), np.float64(0.24269755)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,151.40855404545655,0.1560295261640909
"[np.float64(0.11468262), np.float64(0.1764784), np.float64(0.23391541)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,163.26610599435028,0.19476718498317197
