design_name,length_factor,task_id,dx_m,dy_m,dz_m,position_success,normal_success,position_error_m,normal_position_error_m,normal_error_deg
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.9,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.0,True,True,2.9817525124557864e-11,1.3332668619995882e-08,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.9,surface1_to_surface2_base_end_to_l8_end,0.005,0.0,0.0,True,True,9.604640346255544e-12,1.5921636005290154e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.9,surface1_to_surface2_base_end_to_l8_end,-0.005,0.0,0.0,True,True,1.040141127415462e-12,3.940937441499504e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.9,surface1_to_surface2_base_end_to_l8_end,0.0,0.005,0.0,True,True,4.654819265906929e-11,2.985348319924757e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.9,surface1_to_surface2_base_end_to_l8_end,0.0,-0.005,0.0,True,True,3.754301499801609e-14,3.077457608421338e-10,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.9,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.005,True,True,1.3676269474113474e-13,6.284439210938885e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.9,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,-0.005,True,True,9.534872518851234e-11,4.083014008571343e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.95,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.0,True,True,1.1671781123070196e-13,2.9456712916629446e-13,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.95,surface1_to_surface2_base_end_to_l8_end,0.005,0.0,0.0,True,True,1.2118118549217384e-11,1.1066965324170973e-12,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.95,surface1_to_surface2_base_end_to_l8_end,-0.005,0.0,0.0,True,True,1.1495563164504061e-11,1.5579009610745586e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.95,surface1_to_surface2_base_end_to_l8_end,0.0,0.005,0.0,True,True,9.775244286016678e-14,4.744088806124682e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.95,surface1_to_surface2_base_end_to_l8_end,0.0,-0.005,0.0,True,True,3.531816140045636e-11,2.4779308907380415e-10,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.95,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.005,True,True,2.3479246986542758e-11,2.0765745094311405e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,0.95,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,-0.005,True,True,5.664138394651904e-11,8.738705367778645e-11,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.0,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.0,True,True,9.939843878269254e-13,2.906569856339066e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.0,surface1_to_surface2_base_end_to_l8_end,0.005,0.0,0.0,True,True,4.506626954762865e-12,1.2700019692164297e-10,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.0,surface1_to_surface2_base_end_to_l8_end,-0.005,0.0,0.0,True,True,4.1574172707398806e-13,1.041971657097346e-11,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.0,surface1_to_surface2_base_end_to_l8_end,0.0,0.005,0.0,True,True,3.608703257806294e-11,3.114154455382459e-10,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.0,surface1_to_surface2_base_end_to_l8_end,0.0,-0.005,0.0,True,True,2.3520885256771012e-11,2.447442937326122e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.0,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.005,True,True,1.0300627617950832e-10,6.7752404397522075e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.0,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,-0.005,True,True,2.4138096205441746e-11,5.572616215787855e-10,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.05,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.0,True,True,7.49443131304734e-11,2.302597207338718e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.05,surface1_to_surface2_base_end_to_l8_end,0.005,0.0,0.0,True,True,3.704695838929446e-12,1.6316633822163735e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.05,surface1_to_surface2_base_end_to_l8_end,-0.005,0.0,0.0,True,True,1.7061040469339972e-13,3.1137686440981876e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.05,surface1_to_surface2_base_end_to_l8_end,0.0,0.005,0.0,True,True,1.691973089863606e-13,1.6413874676180434e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.05,surface1_to_surface2_base_end_to_l8_end,0.0,-0.005,0.0,True,True,3.047588510299953e-11,3.4256243343991376e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.05,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.005,True,True,2.833806425084511e-11,2.6072871523201948e-11,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.05,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,-0.005,True,True,7.61954276499982e-11,1.4540868205326077e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.1,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.0,True,True,1.0664968074979227e-10,3.165452176535109e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.1,surface1_to_surface2_base_end_to_l8_end,0.005,0.0,0.0,True,True,4.166036959290597e-12,2.246953642298007e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.1,surface1_to_surface2_base_end_to_l8_end,-0.005,0.0,0.0,True,True,1.698280564571881e-12,1.4003946895962403e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.1,surface1_to_surface2_base_end_to_l8_end,0.0,0.005,0.0,True,True,1.4660491852031353e-12,5.4386912567351485e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.1,surface1_to_surface2_base_end_to_l8_end,0.0,-0.005,0.0,True,True,3.518951068447261e-13,1.1785380428177576e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.1,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,0.005,True,True,1.5788834841517611e-12,2.8765770866312793e-09,0.0
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,1.1,surface1_to_surface2_base_end_to_l8_end,0.0,0.0,-0.005,True,True,4.943500993568411e-11,1.8118560550711577e-09,0.0
