allowed_adjacent,category,distance_m,link_a,link_b,model,normal_on_b,penetration_m,point_on_a_m,point_on_b_m,state
True,self_pairs,-0.10413284868563984,L6,L7,actual_urdf,"[-0.1757181934489407, -0.6696539779213648, 0.7215862154622499]",0.10413284868563984,"[0.27149488787888193, 0.041711313486720164, 0.23944066640287714]","[0.2531968518291494, -0.028021662867902114, 0.3145814945912511]",initial
True,self_pairs,-0.10413284378235856,L1,L2,actual_urdf,"[-0.17571820097344673, -0.6696539545950985, -0.7215862352773932]",0.10413284378235856,"[-0.14655685071821895, 0.0280216632913749, 0.3145814933581979]","[-0.16485488668990397, -0.04171130735071511, 0.23944066664455688]",initial
True,self_pairs,-0.05478440499789238,L3,L4,actual_urdf,"[-0.7477283062133373, -1.1880063813039441e-11, -0.6640048042652507]",0.05478440499789238,"[-0.12346387355173698, -0.0015852452665770535, 0.5082546050716047]","[-0.16442772390771654, -0.0015852452672278957, 0.4718774969541909]",initial
True,self_pairs,-0.05477770815437526,L4,L5,actual_urdf,"[-0.7476708835116321, -9.384302939208466e-13, 0.6640694616897658]",0.05477770815437526,"[0.27106766680345823, 0.001584934126205914, 0.4718774352814968]","[0.23011196935093414, 0.001584934126154509, 0.5082536384481718]",initial
True,self_pairs,-0.0070030167599007265,base_link,L1,actual_urdf,"[2.3383907499677606e-13, 1.1140797031758479e-13, -0.9999999999999999]",0.0070030167599007265,"[-0.14148521619110835, -0.003505250763967069, 0.12003301626443788]","[-0.1414852161911067, -0.003505250763966289, 0.11302999950453715]",initial
True,self_pairs,-0.0069842080342574775,L7,L8,actual_urdf,"[-1.151480310320321e-12, -7.637622852103077e-13, 1.0]",0.0069842080342574775,"[0.22544430459521173, -0.0004904929510598895, 0.11303000703337868]","[0.22544430459520368, -0.0004904929510652238, 0.12001421506763615]",initial
True,self_pairs,-0.006000003497603351,L2,L3,actual_urdf,"[3.5665893875224834e-12, 3.3511043313545317e-12, -1.0]",0.006000003497603351,"[-0.12122160859515346, 0.0006010710190134049, 0.3750299974963829]","[-0.12122160859513206, 0.0006010710190335115, 0.36902999399877956]",initial
True,self_pairs,-0.005982190544359001,L5,L6,actual_urdf,"[0.0, 7.249532855538142e-17, 1.0]",0.005982190544359001,"[0.22471967780068366, -0.003434684901562308, 0.369047809232124]","[0.22471967780068366, -0.0034346849015623074, 0.375029999776483]",initial
False,tower_pairs,-0.18756305289696024,L4,Tower,actual_urdf,"[0.4025925497104389, -0.9144254919326741, 0.04177629257527547]",0.18756305289696024,"[0.009849732275239192, 0.18151243669017955, 0.4865912413551385]","[0.08536121997250033, 0.009999999776482534, 0.49442693032927376]",initial
False,tower_pairs,-0.06325417943949815,L6,Tower,actual_urdf,"[0.005162572164424677, -0.9999826370847444, -0.0028413689811993487]",0.06325417943949815,"[0.2472107151498047, 0.06325308116254229, 0.2828348529984578]","[0.24753726941586257, 1.2981172858094647e-15, 0.2826551245350672]",initial
False,tower_pairs,-0.060999998598121476,L8,Tower,actual_urdf,"[2.825608664495339e-13, -1.0, -1.1375236169465937e-14]",0.060999998598121476,"[0.12523630013502804, 0.06099999859812147, 0.018586749467184055]","[0.12523630013504528, -8.407595384028643e-18, 0.01858674946718336]",initial
False,tower_pairs,-0.04895899620768363,L5,Tower,actual_urdf,"[-2.834573598883646e-16, 1.0, 5.669147197767292e-16]",0.04895899620768363,"[0.22631099805218968, -0.048958996207682334, 0.3827050874180018]","[0.22631099805218968, 1.3007490313549765e-15, 0.3827050874180018]",initial
False,tower_pairs,-0.043281500995159136,base_link,Tower,actual_urdf,"[-0.9999999999999999, 0.0, 0.0]",0.043281500995159136,"[0.04328150099515914, 0.0032789934465015428, 0.042275981378094164]","[1.3877787807814457e-17, 0.0032789934465015428, 0.042275981378094164]",initial
False,tower_pairs,-0.041081715279653326,L7,Tower,actual_urdf,"[0.21283571596571033, -0.9693366382001711, -0.1228309401256621]",0.041081715279653326,"[0.19703390147983368, 0.03982201178067708, 0.2108434355535912]","[0.20577755776447815, 1.3281015780417665e-15, 0.2057973298438166]",initial
True,self_pairs,-0.10414026863838188,L6,L7,actual_urdf,"[-0.2191442065432214, -0.8337594061137282, 0.5067751665733288]",0.10414026863838188,"[0.2687142494649061, 0.20945090914521736, 0.2536688616569347]","[0.24589251292494996, 0.12262298061275595, 0.3064445636431419]",step1_final
True,self_pairs,-0.10413993242017307,L1,L2,actual_urdf,"[-0.19233061481694305, 0.20957454997933786, -0.958690483214001]",0.10413993242017307,"[-0.14573227528754348, -0.01143031491140847, 0.3251585697770424]","[-0.16576157251691026, 0.010394764560427958, 0.22532060764327327]",step1_final
True,self_pairs,-0.05654266496275408,L4,L5,actual_urdf,"[-0.7370082943517914, 0.005202769737983769, 0.6758636735642156]",0.05654266496275408,"[0.2650545877451177, 0.10543912780525737, 0.46243504202586916]","[0.22338217468281352, 0.10573330627143054, 0.5006501752807068]",step1_final
True,self_pairs,-0.05631459389373316,L3,L4,actual_urdf,"[-0.7185061507241906, -0.05766505402901697, -0.6931260007497463]",0.05631459389373316,"[-0.1286723342816541, 0.06647708249587643, 0.4965647162132183]","[-0.1691347163698363, 0.06322969839637216, 0.45753160696380896]",step1_final
True,self_pairs,-0.007003016759901032,base_link,L1,actual_urdf,"[2.219489525393032e-13, -9.029061741135717e-14, -0.9999999999999999]",0.007003016759901032,"[-0.14148521617221987, 0.0029682327639402387, 0.12003301626443798]","[-0.14148521617221832, 0.0029682327639396064, 0.11302999950453695]",step1_final
True,self_pairs,-0.0069842080342970795,L7,L8,actual_urdf,"[0.0103530051778614, -0.059172787912286105, 0.9981940675311964]",0.0069842080342970795,"[0.21658684319798813, 0.16593928460952734, 0.1130911810792867]","[0.21665915073993047, 0.16552600954877858, 0.12006277610552576]",step1_final
True,self_pairs,-0.006000003497613897,L2,L3,actual_urdf,"[0.025680853956450984, -0.34436166071602103, -0.9384857699341911]",0.006000003497613897,"[-0.12344223203375598, 0.029536053421177273, 0.369802628544473]","[-0.12328814682019557, 0.027469882252437017, 0.36417171064240694]",step1_final
True,self_pairs,-0.005982190544056693,L5,L6,actual_urdf,"[-0.0033671128549592057, -0.2811853838059647, 0.9596475616000459]",0.005982190544056693,"[0.21875549241477552, 0.13194814044069764, 0.3647197992476075]","[0.2187353497040938, 0.13026603589656666, 0.37046059381623836]",step1_final
False,tower_pairs,-0.1723654463377983,L4,Tower,actual_urdf,"[0.9993658455249687, 0.035558116437352176, 0.0018780717750105634]",0.1723654463377983,"[-0.17225614001866235, 0.10461206287297886, 0.5536450218193907]","[5.551115123125783e-17, 0.11074105348363447, 0.5539687364991448]",step1_final
False,tower_pairs,-0.043281500995159136,base_link,Tower,actual_urdf,"[-0.9999999999999999, 0.0, 0.0]",0.043281500995159136,"[0.04328150099515914, 0.0032789934465015428, 0.042275981378094164]","[1.3877787807814457e-17, 0.0032789934465015428, 0.042275981378094164]",step1_final
False,tower_pairs,0.012576772593413454,L6,Tower,actual_urdf,"[0.05877865769148652, 0.9976945221188805, -0.033922115705918736]",0.0,"[0.25224589359416916, 0.09254777533424413, 0.2846079304170564]","[0.2515066477830372, 0.07999999821186066, 0.2850345611521772]",step1_final
True,self_pairs,-0.104153425568546,L1,L2,actual_urdf,"[0.5735119810693446, 0.6257920131943192, 0.5286476745358071]",0.104153425568546,"[-0.33573234232404514, -0.04139560885794974, 0.2226758007270281]","[-0.27599910489106977, 0.023782773009675337, 0.27773626694877823]",step2_final
