design_name,task_id,seed,best_error_m,achieved_x,achieved_y,achieved_z,evaluations,runtime_s,best_q
BASELINE_8R,surface1_to_surface2_base_end_to_l8_end,11,0.1188575719775695,0.009976029519408833,-0.02401777029704512,1.0222631903631791,2928,2.75277575943619,"[1.5425898274064016, -1.1177376123467655, -0.9999999999999999, -0.2387591324388305, -0.8029880177077733, 1.10126061674224, -0.987317039111463, 2.9724499772969106]"
BASELINE_8R,surface1_to_surface2_base_end_to_l8_end,22,0.11885757197039687,0.009976064076253038,-0.024017761563391415,1.0222631674714846,2928,2.1291893450543284,"[0.35536861804941017, -2.0238493599989527, -0.9999999999993454, -0.23875974434365338, 2.7009539165877796, 1.5635051006883827, -0.5836831501208521, -1.5866818373344975]"
BASELINE_8R,surface1_to_surface2_base_end_to_l8_end,33,0.11885757197045523,0.009976040236880951,-0.0240177119089183,1.0222631698611166,2928,2.2273232843726873,"[2.961630623944778, -1.117741261495942, -0.9999999999994067, -0.23875787701512052, 0.6160462069620625, 1.3742562788187436, -0.6083681290869313, -2.010226225934618]"
6R_DROP_PAIR_3,surface1_to_surface2_base_end_to_l8_end,11,9.00496669632512e-11,0.06999982692309839,-1.7806931450203844e-10,1.1219999082791912,2196,2.176194967702031,"[-1.2543058630143837, -0.26472500175185765, -0.983401138788603, -2.8094004150036396, -2.7404730953411196, 0.3307411478768755]"
6R_DROP_PAIR_3,surface1_to_surface2_base_end_to_l8_end,22,3.9433215838279333e-10,0.06999982659455256,-3.396930861598868e-10,1.1219999079620944,2196,6.9605224234983325,"[1.3045427395565616, -0.3250759302541514, -0.9678381801855153, -0.2587256429575528, 1.8401807660029268, -0.45640076215271885]"
6R_DROP_PAIR_3,surface1_to_surface2_base_end_to_l8_end,33,3.6056053788474094e-10,0.06999982661637791,-3.259125330723478e-10,1.1219999079840477,2196,4.683257966302335,"[-2.6397763098276297, -2.3944949511867506, -0.9721611715021231, -0.9312823616498653, -2.510517295969531, 0.3634543451553743]"
OPTIMIZED_8R,surface1_to_surface2_base_end_to_l8_end,11,5.1506906748414165e-12,0.06999982686513535,-2.0633916797407892e-10,1.121999908223858,2928,1.9997835401445627,"[-1.9031620785039138, -2.533418663030441, -0.9451523909363132, -0.13163688721198868, -0.16081842946913155, -1.059678544629988, -0.08527055179701867, 2.1111428073989376]"
OPTIMIZED_8R,surface1_to_surface2_base_end_to_l8_end,22,4.362436615939442e-10,0.06999982659268303,-3.623197852853366e-10,1.1219999079138094,2928,19.226440678350627,"[-2.315866038601539, -2.725696737242365, -0.9797948174367487, -0.24153294898355093, -0.6675755171201027, 1.2774280434323668, -0.5524603329347128, 1.9030236880837386]"
OPTIMIZED_8R,surface1_to_surface2_base_end_to_l8_end,33,7.445181676678978e-11,0.06999982691209056,-1.8569457430062108e-10,1.1219999082705494,2928,3.1817475529387593,"[1.5368095137799802, -0.22967122019445294, -0.9544296718119208, 0.018227978878575815, -0.20562559769024336, -0.10282214813689955, 0.502494921758087, -2.4358598782197296]"
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,surface1_to_surface2_base_end_to_l8_end,11,5.84525038014072e-12,0.0699998268621265,-2.1000334804455179e-10,1.12199990821563,2928,2.1219622138887644,"[-1.3914272899070133, 2.0268924272714117, 0.39008863431785806, 1.7106928039655644, -2.3700714160704055, 0.09935577871215097, -0.02194962871201107, -1.912590147330515]"
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,surface1_to_surface2_base_end_to_l8_end,22,3.662105981544606e-11,0.06999982685762043,-2.00326422117314e-10,1.1219999081849468,2928,2.6650304095819592,"[-0.6437645524592128, 0.42537738829237937, 0.38125444460967756, 2.1139273562009495, 2.414082693366252, 2.5881398795077697, -0.42434819552688935, -1.0807322912538122]"
OPTIMIZED_8R_YAW_PITCH_YAW_PITCH,surface1_to_surface2_base_end_to_l8_end,33,3.1219622806144703e-11,0.0699998268557125,-2.0297440117555965e-10,1.1219999081902885,2928,2.5332623906433582,"[0.548235202448507, -0.5307515352877129, -0.43476872480991113, 1.7333041093987605, -1.2449497388509712, -3.1147728625894, -0.1429196835107436, -1.0910892709930473]"
