lengths_m,position_success_count,task_count,task_failure_types,task_success_count,worst_goal_residual_m,worst_normal_error_deg,worst_position_error_m
"[np.float64(0.11300056), np.float64(0.12111104), np.float64(0.26437159), np.float64(0.20576084)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.6577103585045079,167.55734298845286,0.07246554266184638
"[np.float64(0.27138799), np.float64(0.17364697), np.float64(0.17829414), np.float64(0.1027743)]",4,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.07651766783724942,0.8038982833210039,5.210066248845987e-11
"[np.float64(0.13545808), np.float64(0.1307451), np.float64(0.12211792), np.float64(0.160798)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.2637511429690552,4.8492538293189025,0.10185719392229134
"[np.float64(0.26384496), np.float64(0.08927496), np.float64(0.28544595), np.float64(0.22901984)]",2,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.6779851883241321,165.67170740485963,0.017360141241286778
"[np.float64(0.24081868), np.float64(0.07410774), np.float64(0.16692233), np.float64(0.17805083)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.5961010203163839,172.37738530382367,0.09823380688765816
"[np.float64(0.19536251), np.float64(0.07210059), np.float64(0.21577526), np.float64(0.13205305)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.5668400951931705,172.30792417892627,0.1165977017517116
"[np.float64(0.14880362), np.float64(0.10681509), np.float64(0.33534882), np.float64(0.27271839)]",2,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.7254599879223916,160.44448501447766,0.019740200410767485
"[np.float64(0.21548644), np.float64(0.15846339), np.float64(0.2364819), np.float64(0.24998889)]",4,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.21011468592210367,4.825830303522526,2.8723804265536086e-11
"[np.float64(0.10954445), np.float64(0.17364697), np.float64(0.27176252), np.float64(0.24987744)]",2,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.25650885423369474,6.76199120382012,0.017620239752668854
"[np.float64(0.24037242), np.float64(0.12135765), np.float64(0.24782426), np.float64(0.20576084)]",0,4,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}",0,0.6381042703082517,168.96073515832418,0.03278732043329817
